Age group,Term,Freq
16 - 24,"""cakey"" (6.38%)",1.30773065
25 - 34,"""cakey"" (6.38%)",0.852729475
35 - 44,"""cakey"" (6.38%)",-0.127273056
45 - 54,"""cakey"" (6.38%)",-0.840002169
55 - 65,"""cakey"" (6.38%)",-1.123184719
16 - 24,"""calming"" (10.19%)",0.530261128
25 - 34,"""calming"" (10.19%)",0.870359645
35 - 44,"""calming"" (10.19%)",0.058511573
45 - 54,"""calming"" (10.19%)",-0.416894956
55 - 65,"""calming"" (10.19%)",-1.239713948
16 - 24,"""ceramides"" (6.23%)",1.008755494
25 - 34,"""ceramides"" (6.23%)",0.66781126
35 - 44,"""ceramides"" (6.23%)",-0.158031441
45 - 54,"""ceramides"" (6.23%)",-0.968721065
55 - 65,"""ceramides"" (6.23%)",-1.233899914
16 - 24,"""chalky"" (4.00%)",0.921973884
25 - 34,"""chalky"" (4.00%)",0.628618557
35 - 44,"""chalky"" (4.00%)",-0.460986942
45 - 54,"""chalky"" (4.00%)",-0.149671085
55 - 65,"""chalky"" (4.00%)",-0.778289642
16 - 24,"""chapped"" (12.01%)",0.279316794
25 - 34,"""chapped"" (12.01%)",0.686891301
35 - 44,"""chapped"" (12.01%)",0.413274849
45 - 54,"""chapped"" (12.01%)",-0.686891301
55 - 65,"""chapped"" (12.01%)",-0.986159295
16 - 24,"""charcoal"" (2.22%)",0.684388119
25 - 34,"""charcoal"" (2.22%)",0.699942394
35 - 44,"""charcoal"" (2.22%)",-0.497736813
45 - 54,"""charcoal"" (2.22%)",-0.979919352
55 - 65,"""charcoal"" (2.22%)",-0.933256525
16 - 24,"""cheap"" (13.66%)",1.296210038
25 - 34,"""cheap"" (13.66%)",0.822929175
35 - 44,"""cheap"" (13.66%)",-0.096587931
45 - 54,"""cheap"" (13.66%)",-0.784294002
55 - 65,"""cheap"" (13.66%)",-1.199622107
16 - 24,"""chemicals"" (10.10%)",1.176964699
25 - 34,"""chemicals"" (10.10%)",0.516053752
35 - 44,"""chemicals"" (10.10%)",0.165227737
45 - 54,"""chemicals"" (10.10%)",-0.642803797
55 - 65,"""chemicals"" (10.10%)",-1.312768318
16 - 24,"""chronic"" (2.15%)",-0.260667485
25 - 34,"""chronic"" (2.15%)",0.379685403
35 - 44,"""chronic"" (2.15%)",0.024421129
45 - 54,"""chronic"" (2.15%)",0.002491236
55 - 65,"""chronic"" (2.15%)",-0.488738377
16 - 24,"""citrus"" (2.31%)",0.443622866
25 - 34,"""citrus"" (2.31%)",-0.066060646
35 - 44,"""citrus"" (2.31%)",0.457780741
45 - 54,"""citrus"" (2.31%)",0.00472873
55 - 65,"""citrus"" (2.31%)",-1.085427671
16 - 24,"""clay"" (3.65%)",0.892381133
25 - 34,"""clay"" (3.65%)",0.484989746
35 - 44,"""clay"" (3.65%)",-0.004849897
45 - 54,"""clay"" (3.65%)",-0.994228979
55 - 65,"""clay"" (3.65%)",-1.047577851
16 - 24,"""clean"" (32.67%)",1.246432838
