Age group,Term,More Phrase Usage,Category
55 - 65,"""animals"" (2.21%)",0.669386395,Social Responsibility
16 - 24,"""artificial"" (2.42%)",0.859593566,Product Description
25 - 34,"""artificial"" (2.42%)",0.754765082,Product Description
35 - 44,"""artificial"" (2.42%)",-0.115311332,Product Description
45 - 54,"""artificial"" (2.42%)",-0.419313935,Product Description
55 - 65,"""artificial"" (2.42%)",-1.111181927,Product Description
16 - 24,"""basic"" (4.37%)",0.737465468,Product Traits
25 - 34,"""basic"" (4.37%)",0.151780515,Product Traits
35 - 44,"""basic"" (4.37%)",0.234709358,Product Traits
45 - 54,"""basic"" (4.37%)",-0.428721386,Product Traits
55 - 65,"""basic"" (4.37%)",-1.48088108,Product Traits
16 - 24,"""beautiful"" (16.05%)",-0.917831822,Product Reactions
25 - 34,"""beautiful"" (16.05%)",-0.226203233,Product Reactions
35 - 44,"""beautiful"" (16.05%)",0.380802565,Product Reactions
45 - 54,"""beautiful"" (16.05%)",0.538656619,Product Reactions
55 - 65,"""beautiful"" (16.05%)",-0.214811703,Product Reactions
16 - 24,"""bleach"" (0.08%)",0.165087465,Product Ingredients
25 - 34,"""bleach"" (0.08%)",-0.349263049,Product Ingredients
35 - 44,"""bleach"" (0.08%)",0,Product Ingredients
45 - 54,"""bleach"" (0.08%)",0,Product Ingredients
55 - 65,"""bleach"" (0.08%)",0,Product Ingredients
16 - 24,"""bonus"" (6.53%)",0.234505537,Brand Loyalty
25 - 34,"""bonus"" (6.53%)",0.726210695,Brand Loyalty
35 - 44,"""bonus"" (6.53%)",0.548440369,Brand Loyalty
45 - 54,"""bonus"" (6.53%)",-0.544658022,Brand Loyalty
55 - 65,"""bonus"" (6.53%)",-1.444856696,Brand Loyalty
16 - 24,"""cakey"" (6.38%)",1.30773065,Product Performance
25 - 34,"""cakey"" (6.38%)",0.852729475,Product Performance
35 - 44,"""cakey"" (6.38%)",-0.127273056,Product Performance
45 - 54,"""cakey"" (6.38%)",-0.840002169,Product Performance
55 - 65,"""cakey"" (6.38%)",-1.123184719,Product Performance
16 - 24,"""calming"" (10.19%)",0.530261128,Product Effects
25 - 34,"""calming"" (10.19%)",0.870359645,Product Effects
35 - 44,"""calming"" (10.19%)",0.058511573,Product Effects
45 - 54,"""calming"" (10.19%)",-0.416894956,Product Effects
55 - 65,"""calming"" (10.19%)",-1.239713948,Product Effects
16 - 24,"""ceramides"" (6.23%)",1.008755494,Product Ingredients
25 - 34,"""ceramides"" (6.23%)",0.66781126,Product Ingredients
35 - 44,"""ceramides"" (6.23%)",-0.158031441,Product Ingredients
45 - 54,"""ceramides"" (6.23%)",-0.968721065,Product Ingredients
55 - 65,"""ceramides"" (6.23%)",-1.233899914,Product Ingredients
16 - 24,"""chalky"" (4.00%)",0.921973884,Product Performance
25 - 34,"""chalky"" (4.00%)",0.628618557,Product Performance
35 - 44,"""chalky"" (4.00%)",-0.460986942,Product Performance
45 - 54,"""chalky"" (4.00%)",-0.149671085,Product Performance
55 - 65,"""chalky"" (4.00%)",-0.778289642,Product Performance
16 - 24,"""chapped"" (12.01%)",0.279316794,Skin Descriptions
25 - 34,"""chapped"" (12.01%)",0.686891301,Skin Descriptions
35 - 44,"""chapped"" (12.01%)",0.413274849,Skin Descriptions
45 - 54,"""chapped"" (12.01%)",-0.686891301,Skin Descriptions
55 - 65,"""chapped"" (12.01%)",-0.986159295,Skin Descriptions
16 - 24,"""charcoal"" (2.22%)",0.684388119,Product Ingredients
25 - 34,"""charcoal"" (2.22%)",0.699942394,Product Ingredients
35 - 44,"""charcoal"" (2.22%)",-0.497736813,Product Ingredients
45 - 54,"""charcoal"" (2.22%)",-0.979919352,Product Ingredients
55 - 65,"""charcoal"" (2.22%)",-0.933256525,Product Ingredients
16 - 24,"""cheap"" (13.66%)",1.296210038,Product Reactions
25 - 34,"""cheap"" (13.66%)",0.822929175,Product Reactions
35 - 44,"""cheap"" (13.66%)",-0.096587931,Product Reactions
45 - 54,"""cheap"" (13.66%)",-0.784294002,Product Reactions
55 - 65,"""cheap"" (13.66%)",-1.199622107,Product Reactions
16 - 24,"""chemicals"" (10.10%)",1.176964699,Product Ingredients
25 - 34,"""chemicals"" (10.10%)",0.516053752,Product Ingredients
35 - 44,"""chemicals"" (10.10%)",0.165227737,Product Ingredients
45 - 54,"""chemicals"" (10.10%)",-0.642803797,Product Ingredients
55 - 65,"""chemicals"" (10.10%)",-1.312768318,Product Ingredients
16 - 24,"""chronic"" (2.15%)",-0.260667485,Skin Descriptions
25 - 34,"""chronic"" (2.15%)",0.379685403,Skin Descriptions
35 - 44,"""chronic"" (2.15%)",0.024421129,Skin Descriptions
45 - 54,"""chronic"" (2.15%)",0.002491236,Skin Descriptions
55 - 65,"""chronic"" (2.15%)",-0.488738377,Skin Descriptions
16 - 24,"""citrus"" (2.31%)",0.443622866,Product Ingredients
25 - 34,"""citrus"" (2.31%)",-0.066060646,Product Ingredients
35 - 44,"""citrus"" (2.31%)",0.457780741,Product Ingredients
45 - 54,"""citrus"" (2.31%)",0.00472873,Product Ingredients
55 - 65,"""citrus"" (2.31%)",-1.085427671,Product Ingredients
16 - 24,"""clay"" (3.65%)",0.892381133,Product Ingredients
25 - 34,"""clay"" (3.65%)",0.484989746,Product Ingredients
35 - 44,"""clay"" (3.65%)",-0.004849897,Product Ingredients
